target,group,seconds,best_source,best_score,runner_up,runner_up_score,reason,names
"music/ffxiv/BGM_Ride_CT71.scd","","","","","","","","Mount:暗闇の羽衣; Mount:暗黒領域"
"music/ex2/BGM_EX2_Ban_22.scd","","","","","","","",""
"music/ffxiv/Orchestrion/BGM_ORCH_567.scd","","","","","","","","Orchestrion:鐘声 ～強硬突入 イシュガルド教皇庁～"
"music/ex4/BGM_EX4_Event_19.scd","","","","","","","",""
"music/ex3/BGM_EX3_Event_13.scd","","","","","","","",""
"music/ffxiv/BGM_Event_Crystal.scd","","","","","","","",""
"music/ffxiv/BGM_Ride_Kirin.scd","","","","","","","","Mount:リボーン・フェニックス; Mount:麒麟"
"music/ffxiv/BGM_Ride_FF4Baha.scd","","","","","","","","Mount:バハムート・アポクリファ"
"music/ex5/BGM_EX5_EoV_20.scd","","","","","","","",""
"music/ffxiv/BGM_Event_NextHildy.scd","","","","","","","",""
"music/ffxiv/BGM_Field_Lim_08.scd","","","","","","","","TerritoryType:嘆きの海"
"music/ffxiv/Orchestrion/BGM_ORCH_924.scd","","","","","","","","Orchestrion:消せない約束 ～希望の園エデン：再生編～（Till Dawn My Tears Flow）"
"music/ffxiv/BGM_ChocoboRace_Lose.scd","","","","","","","",""
"music/ex3/BGM_EX3_Event_25.scd","","","","","","","",""
"music/ex5/BGM_EX5_Event_04.scd","","","","","","","",""
"music/ffxiv/Orchestrion/BGM_ORCH_699.scd","","","","","","","","Orchestrion:Flow（Fan Fest）"
"music/ffxiv/Orchestrion/BGM_ORCH_915.scd","","","","","","","","Orchestrion:ザナルカンドにて（MODULATION）"
"music/ex5/BGM_EX5_KGR_09.scd",Album not in hand,"","","","","",Monster Hunter Wilds,""
"music/ex5/BGM_EX5_KGR_02.scd",Album not in hand,"","","","","",Monster Hunter Wilds,"InstanceContent:極護竜アルシュベルド狩猟戦; InstanceContent:護竜アルシュベルド狩猟戦"
"music/ffxiv/BGM_System_WinShot_02.scd","","","","","","","","InstanceContent:アメノミハシラ 91～100層; InstanceContent:オルト・エウレカ B91～B100; InstanceContent:ピルグリム・トラバース 第91～100巡礼路; InstanceContent:死者の宮殿 B191～B200"
"music/ffxiv/Orchestrion/BGM_ORCH_458.scd","","","","","","","","Orchestrion:忘却の此方 ～希望の園エデン：共鳴編～（Scions & Sinners: Amanda Achen Vocals）"
"music/ffxiv/Orchestrion/BGM_ORCH_813.scd","","","","","","","","Orchestrion:Sarutabaruta"
"music/ffxiv/Orchestrion/BGM_ORCH_825.scd","","","","","","","","Orchestrion:白の孤影"
"music/ex3/BGM_EX3_Event_09.scd","","","","","","","",""
"music/ffxiv/Orchestrion/BGM_ORCH_391.scd","","","","","","","","Orchestrion:静穏の森（Piano Collections）"
"music/ex2/BGM_EX2_Event_09.scd","","","","","","","",""
"music/ffxiv/BGM_Season_Uematsu2.scd","","","","","","","",""
"music/ffxiv/Orchestrion/BGM_ORCH_395.scd","","","","","","","","Orchestrion:宵の海 ～紅玉海：夜～（Piano Collections）"
"music/ffxiv/Orchestrion/BGM_ORCH_396.scd","","","","","","","","Orchestrion:西風に乗せて（Piano Collections）"
"music/ffxiv/Orchestrion/BGM_ORCH_398.scd","","","","","","","","Orchestrion:不吉なる前兆（Piano Collections）"
"music/ffxiv/BGM_Event_BKC07.scd","","","","","","","",""
"music/ffxiv/Orchestrion/BGM_ORCH_232.scd","","","","","","","","Orchestrion:勝利か死か"
"music/ffxiv/BGM_Event_Marvellous.scd","","","","","","","","TerritoryType:アレクサンドリア王国跡地"
"music/ffxiv/Orchestrion/BGM_ORCH_123.scd","","","","","","","","Orchestrion:国境なき空（Duality）"
